Date,Open,High,Low,Close,Adj Close,Volume
2018/1/17,202.149994,205.490005,200.940002,204.25,202.454254,44900
2018/1/18,204.100006,206,202,202.960007,201.175598,53700
2018/1/19,203.119995,208,203.119995,207.270004,205.447723,59000
2018/1/22,207.509995,209.740005,204.009995,205.990005,204.178955,53600
2018/1/23,206.600006,207.080002,205.119995,206.360001,204.5457,43400
2018/1/24,207.080002,208,204,205.509995,203.703186,61500
2018/1/25,205.889999,206.860001,202.720001,204.429993,202.87944,56300
2018/1/26,204.949997,207.419998,203.369995,206.940002,205.370453,62300
2018/1/29,205.910004,207.5,201.779999,202.059998,200.527435,63600
2018/1/30,201.279999,204.089996,201.080002,203.100006,201.55957,32000
2018/1/31,203,204.110001,201,202.520004,200.983963,42800
2018/2/1,201.779999,206.259995,201.350006,202.839996,201.301544,80200
2018/2/2,201.509995,204.960007,198.029999,199.240005,197.728867,93300
2018/2/5,198.429993,199,185.779999,186.699997,185.283951,65900
2018/2/6,182.089996,188.309998,180.389999,184.559998,183.160172,69100
2018/2/7,185.029999,189.070007,184,187.610001,186.187042,40400
2018/2/8,187.610001,188.610001,182.580002,182.580002,181.19519,56000
2018/2/9,184.479996,187.479996,178.490005,182.289993,180.907394,52500
2018/2/12,184.110001,185.639999,180.479996,180.970001,179.597427,63400
2018/2/13,181.100006,184.990005,180,183.410004,182.018921,58000
2018/2/14,182.710007,185.970001,182.710007,183.789993,182.395996,36500
2018/2/15,185.029999,190.199997,185,189.020004,187.586349,31800
2018/2/16,191.110001,194.850006,188.889999,190.690002,189.243698,42600
2018/2/20,190.440002,190.440002,185,185.729996,184.321304,35800
2018/2/21,185.949997,188.210007,183.089996,183.520004,182.128067,46800
2018/2/22,183.75,185.440002,182.009995,183.039993,181.651703,44400
2018/2/23,183.350006,184,181.5,182.169998,180.7883,36200
2018/2/26,182.830002,186.309998,182.830002,185.619995,184.212128,52600
2018/2/27,185.460007,187.100006,182.199997,182.199997,180.8181,61600
2018/2/28,187.190002,190.820007,183.470001,186.610001,185.194626,59100
2018/3/1,187.169998,189.330002,182.059998,185.509995,184.102966,42400
2018/3/2,184.809998,192.839996,183.270004,191.199997,189.749817,73300
2018/3/5,189.160004,190.490005,185.949997,186,184.589264,45500
2018/3/6,185.860001,189,184.460007,188.779999,187.348175,59400
2018/3/7,185.529999,189.929993,184.190002,185.309998,183.904495,48400
2018/3/8,185.990005,189.699997,185.309998,188.809998,187.37793,32100
2018/3/9,189.330002,190.240005,185.160004,187.860001,186.43515,47500
2018/3/12,187.820007,189.990005,186.139999,187.479996,186.058029,30900
2018/3/13,187.889999,188.220001,186,186.490005,185.075562,35200
2018/3/14,186.710007,187.5,183.449997,183.910004,182.515106,44300
2018/3/15,183.899994,184.580002,179.119995,179.5,178.13855,53600
2018/3/16,179.839996,182.690002,179.009995,182.440002,181.056259,75800
2018/3/19,182,182.199997,178.210007,179.350006,177.9897,45400
2018/3/20,179.5,180.990005,177.009995,179.100006,177.741592,26500
2018/3/21,178.779999,179.039993,176.5,176.5,175.161316,22300
2018/3/22,175.449997,177.320007,174.5,175.669998,174.337601,47600
2018/3/23,175.419998,175.619995,168.539993,169.589996,168.303726,27700
2018/3/26,171.710007,174.259995,170.800003,173.559998,172.243607,44600
2018/3/27,174.100006,177.240005,171.820007,172.550003,171.241272,30100
2018/3/28,172.940002,175.389999,171.699997,174.179993,172.858902,18600
2018/3/29,175.240005,177.630005,172.649994,172.669998,171.360367,82500
2018/4/2,172.639999,173.660004,168.759995,170.300003,169.008347,51900
2018/4/3,171.320007,174.990005,169.979996,174.039993,172.719955,35500
2018/4/4,172,178.949997,171.830002,177.759995,176.411743,55800
2018/4/5,179.100006,179.100006,175.779999,176.720001,175.379669,52000
2018/4/6,175.25,176.699997,172.809998,174.75,173.424576,31300
2018/4/9,175.690002,177.300003,174.550003,174.880005,173.553635,34700
2018/4/10,176.130005,177.199997,173.360001,174.75,173.424576,45500
2018/4/11,173.809998,175,172.279999,174.080002,172.759674,37500
2018/4/12,174.110001,175.570007,172,172.360001,171.052719,22100
2018/4/13,173,174.910004,171.300003,172.679993,171.370285,26000
