bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
110038,济川转债,2017/11/13,733566,704566,1.041,8.43亿,8.43亿,2017/11/15,2017/11/29,600566,济川药业,41.04,0.011,2022/11/12
110039,宝信转债,2017/11/17,733845,704845,2.885,16.00亿,16.00亿,2017/11/21,2017/12/5,600845,宝信软件,18.19,0.008,2023/11/16
110040,生益转债,2017/11/24,733183,704183,1.236,18.00亿,18.00亿,2017/11/28,2017/12/11,600183,生益科技,17.34,0.006,2023/11/23
110041,蒙电转债,2017/12/22,733863,704863,0.322,18.75亿,18.75亿,2017/12/25,2018/1/9,600863,内蒙华电,2.95,0.267,2023/12/21
110042,航电转债,2017/12/25,733372,704372,1.364,24.00亿,24.00亿,2017/12/27,2018/1/15,600372,中航电子,14.29,0.197,2023/12/24
110043,无锡转债,2018/1/30,733908,704908,1.623,30.00亿,30.00亿,2018/2/1,2018/3/14,600908,无锡银行,8.9,0.188,2024/1/30
110044,广电转债,2018/6/27,733831,704831,1.322,8.00亿,8.00亿,2018/6/29,2018/7/24,600831,广电网络,6.9,0.414,2024/6/26
110045,海澜转债,2018/7/13,733398,704398,0.667,30.00亿,30.00亿,2018/7/17,2018/7/31,600398,海澜之家,12.02,1.02,2024/7/12
110046,圆通转债,2018/11/20,733233,704233,1.289,36.50亿,36.50亿,2018/11/22,2018/12/18,600233,圆通速递,10.73,0.208,2024/11/19
110047,山鹰转债,2018/11/21,733567,704567,0.503,23.00亿,23.00亿,2018/11/23,2018/12/10,600567,山鹰纸业,3.34,0.497,2024/11/20
110048,福能转债,2018/12/7,733483,704483,1.823,28.30亿,28.30亿,2018/12/11,2018/12/28,600483,福能股份,8.48,0.196,2024/12/6
110049,海尔转债,2018/12/18,733690,704690,0.493,30.07亿,30.07亿,2018/12/20,2019/1/18,600690,海尔智家,14.2,0.039,2024/12/17
110050,佳都转债,2018/12/19,733728,704728,0.54,8.75亿,8.75亿,2018/12/21,2019/1/21,600728,佳都科技,7.89,2.35,2024/12/18
110051,中天转债,2019/2/28,733522,704522,1.293,39.65亿,39.65亿,2019/3/4,2019/3/22,600522,中天科技,10.19,0.02,2025/2/27
110052,贵广转债,2019/3/5,733996,704996,1.534,16.00亿,16.00亿,2019/3/7,2019/3/29,600996,贵广网络,8.04,0.012,2025/3/4
110053,苏银转债,2019/3/14,733919,704919,1.732,200.00亿,200.00亿,2019/3/18,2019/4/3,600919,江苏银行,7.56,0.039,2025/3/13
110054,通威转债,2019/3/18,733438,704438,1.287,50.00亿,50.00亿,2019/3/20,2019/4/10,600438,通威股份,12.28,0.011,2025/3/17
110055,伊力转债,2019/3/15,733197,704197,1.986,8.76亿,8.76亿,2019/3/19,2019/4/4,600197,伊力特,17.25,0.018,2025/3/14
110056,亨通转债,2019/3/19,733487,704487,0.91,17.33亿,17.33亿,2019/3/21,2019/4/16,600487,亨通光电,21.64,0.018,2025/3/18
110057,现代转债,2019/4/1,733420,704420,1.529,16.16亿,16.16亿,2019/4/3,2019/4/30,600420,现代制药,9.99,0.036,2025/3/31
110058,永鼎转债,2019/4/16,733105,704105,0.782,9.80亿,9.80亿,2019/4/18,2019/5/8,600105,永鼎股份,6.35,0.014,2025/4/15
110059,浦发转债,2019/10/28,733000,704000,1.703,500.00亿,500.00亿,2019/10/30,-,600000,浦发银行,15.05,0.302,2025/10/27
110060,天路转债,2019/10/28,733326,704326,1.256,10.87亿,10.87亿,2019/10/30,-,600326,西藏天路,7.24,0.019,2025/10/27
113011,光大转债,2017/3/17,783818,764818,0.753,300.00亿,300.00亿,2017/3/23,2017/4/5,601818,光大银行,4.31,0.5,2023/3/16
113012,骆驼转债,2017/3/24,783311,764311,0.845,7.17亿,7.17亿,2017/3/30,2017/4/13,601311,骆驼股份,16.78,0.158,2023/3/23
113013,国君转债,2017/7/7,783211,764211,0.931,70.00亿,70.00亿,2017/7/13,2017/7/24,601211,国泰君安,20.2,0.081,2023/7/6
113014,林洋转债,2017/10/27,783222,764222,1.7,30.00亿,30.00亿,2017/10/31,2017/11/13,601222,林洋能源,8.8,0.003,2023/10/26
113015,隆基转债,2017/11/2,783012,764012,1.402,28.00亿,28.00亿,2017/11/6,2017/11/20,601012,隆基股份,32.35,0.009,2023/11/1
113016,小康转债,2017/11/6,783127,764127,1.649,15.00亿,15.00亿,2017/11/8,2017/11/21,601127,小康股份,23,0.003,2023/11/5
