,"bond_code,apply_date,apply_code,player_code,amount_per_stock,plan_amount_100million,actual_amount_100million,result_date,open_date,stock_code,conver_price,winning_rate,end_date",open_price
0,"110059,2019/10/28,733000,704000,1.703,500,500,2019/10/30,2019/11/27,600000,15.05,0.302,2025/10/27",
1,"110060,2019/10/28,733326,704326,1.256,10.87,10.87,2019/10/30,2019/11/27,600326,7.24,0.019,2025/10/27",
2,"113545,2019/10/14,754113,753113,2.219,15,15,2019/10/16,2019/11/13,603113,11.55,0.035,2025/10/13",
3,"113546,2019/10/23,754320,753320,2.299,2.3,2.3,2019/10/25,2019/11/22,603320,18.45,0.015,2025/10/22",
4,"113547,2019/10/24,754612,753612,2.804,9.45,9.45,2019/10/28,2019/11/23,603612,10.67,0.023,2025/10/23",
5,"113548,2019/10/28,754688,753688,1.078,3.6,3.6,2019/10/30,2019/11/27,603688,15.25,0.018,2025/10/27",
6,"123033,2019/11/1,370748,380748,1.0521,4.35,-,2019/11/5,2019/12/1,300748,41.2,-,2025/10/31",
7,"123034,2019/11/4,370265,380265,0.88,2.97,-,2019/11/6,2019/12/4,300265,7.98,-,2025/11/3",
8,"127014,2019/10/24,70065,80065,0.7514,5.78,5.78,2019/10/28,2019/11/23,65,8.84,0.024,2025/10/23",
9,"128076,2019/10/14,72722,82722,1.2196,2.14,2.14,2019/10/16,2019/11/13,2722,14.96,0.016,2025/10/14",
10,"128077,2019/10/16,72928,82928,1.315,7.9,7.9,2019/10/18,2019/11/15,2928,10.52,0.02,2025/10/16",
11,"128078,2019/10/21,72368,82368,2.4226,10,10,2019/10/23,2019/11/20,2368,31.61,0.043,2025/10/21",
12,"128079,2019/10/21,72846,82846,1.1,2.14,2.14,2019/10/23,2019/11/20,2846,13.54,0.015,2025/10/21",
13,"123032,2019/10/11,370591,380591,0.5778,1.8,1.8,2019/10/15,2019/10/31,300591,6.92,0.025,2025/10/10",
14,"128075,2019/9/23,72406,82406,1.593,8.94,8.94,2019/9/25,2019/10/31,2406,5.79,0.016,2025/9/23",
15,"128074,2019/9/23,72174,82174,1.2943,11.5,11.5,2019/9/25,2019/10/21,2174,17.06,0.093,2025/9/23",
16,"113544,2019/9/20,754866,753866,1.517,10,10,2019/9/24,2019/10/15,603866,47.54,0.031,2025/9/19",
17,"123031,2019/8/29,370655,380655,1.2217,1.85,1.85,2019/9/2,2019/9/26,300655,18.38,0.045,2025/8/28",
18,"128071,2019/8/16,72228,82228,0.5093,5.96,5.96,2019/8/20,2019/9/16,2228,4.38,0.086,2025/8/16",
19,"128072,2019/8/20,72842,82842,1.0994,3.02,3.02,2019/8/22,2019/9/16,2842,15.36,0.031,2025/8/19",
20,"123030,2019/8/20,370040,380040,0.8978,3.08,3.08,2019/8/22,2019/9/12,300040,5.7,0.041,2025/8/19",
21,"128073,2019/8/22,72615,82615,0.7309,3,3,2019/8/26,2019/9/11,2615,5.8,0.038,2024/8/22",
22,"123029,2019/8/16,370677,380677,2.3687,4.7,4.7,2019/8/20,2019/9/10,300677,16.25,0.04,2025/8/15",
23,"113543,2019/8/16,754833,753833,3.557,14.95,14.95,2019/8/20,2019/9/4,603833,101.46,0.056,2025/8/15",
24,"113542,2019/8/1,754898,753898,2.034,6.3,6.3,2019/8/5,2019/8/23,603898,16.62,0.056,2025/7/31",
25,"113541,2019/7/23,754165,753165,1.86,3.3,3.3,2019/7/25,2019/8/13,603165,18.72,0.063,2025/7/22",
26,"113540,2019/7/15,754636,753636,1.253,6.6,6.6,2019/7/17,2019/8/5,603636,10.13,0.064,2025/7/14",
27,"113539,2019/7/3,754079,753079,2.67,2.99,2.99,2019/7/5,2019/7/26,603079,28.78,0.031,2025/7/2",
28,"128070,2019/7/2,72877,82877,0.6917,2.3,2.3,2019/7/4,2019/7/23,2877,9.55,0.025,2025/7/2",
29,"113538,2019/6/28,754658,753658,1.626,6.83,6.83,2019/7/2,2019/7/22,603658,64.11,0.035,2025/6/27",
30,"123028,2019/6/19,370437,380437,2.2443,4.9,4.9,2019/6/21,2019/7/15,300437,11.95,0.086,2025/6/18",
31,"128069,2019/6/24,72907,82907,0.7498,3,3,2019/6/26,2019/7/11,2907,18.08,0.019,2025/6/24",
32,"113027,2019/6/14,783020,764020,1.216,6.4,6.4,2019/6/18,2019/7/10,601020,10.17,0.072,2025/6/13",
33,"113028,2019/6/18,783200,764200,2.375,21.7,21.7,2019/6/20,2019/7/8,601200,10.44,0.031,2025/6/17",
34,"113537,2019/6/10,754348,753348,3.636,8,8,2019/6/12,2019/7/5,603348,19.93,0.103,2025/6/9",
35,"123027,2019/6/11,370487,380487,1.6461,3.4,3.4,2019/6/13,2019/7/4,300487,29.58,0.022,2025/6/10",
36,"123026,2019/6/10,370692,380692,1.8124,2.9,2.9,2019/6/12,2019/7/1,300692,12.31,0.054,2024/6/9",
37,"128068,2019/6/4,72402,82402,0.6394,5.47,5.47,2019/6/6,2019/7/1,2402,9.09,0.083,2025/6/4",
