Cust_ID,Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
1000,32,148000,100,759,N,0,4246,204872,148000,0,Active,non-default,FL,"40,171",0
1001,40,168701,100,765,N,595,3200,118933,118933,0.185938,Active,non-default,FL,"40,171",1
1002,34,111000,100,691,N,1299,4150,130000,111000,0.313012,Active,non-default,TN,"38,550",0
1003,26,115500,98,665,N,969,2957,210000,115500,0.327697,Active,non-default,OH,"44,160",0
1004,42,96000,100,788,N,1072,6270,136000,96000,0.170973,Active,non-default,NV,"46,984",0
1005,26,86000,100,757,N,0,6940,127855,86000,0,Active,non-default,NC,"39,000",0
1006,53,136000,100,661,N,1252,5644,152000,136000,0.221828,Active,non-default,SC,"39,326",0
1007,44,101900,100,788,N,1161,5200,190000,101900,0.223269,Active,non-default,NJ,"56,772",0
1008,30,106500,100,708,N,0,6675,170000,106500,0,Active,non-default,CA,"49,894",0
1009,49,161050,97,661,N,1114,5200,128000,128000,0.214231,Active,non-default,MA,"52,354",1
1010,27,65000,100,743,N,1063,6307,127677,65000,0.168543,Active,non-default,MI,"44,476",0
1011,30,163800,100,693,N,1066,4500,140000,140000,0.236889,Active,non-default,TN,"38,550",1
1012,25,108500,100,712,N,1708,5133,250000,108500,0.332749,Active,non-default,NJ,"56,772",0
1013,28,81900,100,727,N,1263,6200,181000,81900,0.20371,Active,non-default,OR,"42,617",0
1014,41,165500,100,702,N,796,5300,135000,135000,0.150189,Active,non-default,PA,"44,286",1
1015,28,113975,97,735,N,741,4938,116600,113975,0.150061,Active,non-default,NC,"39,000",0
1016,34,116000,100,672,N,0,4190,71555,71555,0,Active,non-default,CA,"49,894",1
1017,26,218900,100,671,N,205,2080,58000,58000,0.098558,Active,non-default,IA,"43,042",1
1018,38,70300,95,726,N,2291,6850,315000,70300,0.334453,Active,non-default,NY,"44,228",0
1019,33,245000,100,615,N,884,2951,170000,170000,0.299559,Active,non-default,CA,"49,894",1
1020,34,248000,100,662,N,1141,4000,150000,150000,0.28525,Active,non-default,AZ,"42,590",1
1021,37,174000,100,795,N,1235,6093,164500,164500,0.202692,Active,non-default,MD,"56,763",1
1022,25,70000,90,683,N,0,6590,189560,70000,0,Active,non-default,UT,"50,614",0
1023,22,33000,100,660,N,1741,8500,182000,33000,0.204824,Active,non-default,TX,"41,275",0
1024,32,144900,97,687,N,938,3500,135271,135271,0.268,Active,non-default,WA,"48,688",1
1025,49,89000,100,668,N,952,3915,101000,89000,0.243167,Active,non-default,TX,"41,275",0
1026,36,109900,100,675,N,185,1892,112287,109900,0.09778,Active,non-default,PA,"44,286",0
1027,24,121000,100,814,N,1445,4011,275000,121000,0.360259,Active,non-default,CO,"51,022",0
1028,31,67000,100,708,N,1233,4485,155000,67000,0.274916,Active,non-default,WI,"47,220",0
1029,38,91500,99,687,N,1419,7438,186000,91500,0.190777,Active,non-default,OH,"44,160",0
1030,39,136292,100,687,N,1506,4153,330000,136292,0.362629,Active,non-default,CO,"51,022",0
1031,47,88000,100,694,N,1370,5500,221000,88000,0.249091,Active,non-default,MN,"55,914",0
1032,32,225907,100,662,N,1052,3500,186000,186000,0.300571,Active,non-default,CO,"51,022",1
1033,47,186210,90,749,N,0,5082,150000,150000,0,Active,non-default,TX,"41,275",1
1034,26,136000,100,684,N,1195,8000,144000,136000,0.149375,Active,non-default,AZ,"42,590",0
1035,44,90000,100,668,N,771,7300,105000,90000,0.105616,Active,non-default,TX,"41,275",0
